id,year,title,doc_id,org,doc_type,doc_family,d1,d2,d3,d4,doc_score,descriptor,limiting_dim,flag_d4_limited,flag_kappa,d4_present,scored_ge3,org_nist,org_swgde,year_band,notes
1,2023,Artificial Intelligence Risk Management Framework (AI RMF 1.0),NIST.AI.100-1,NIST,Core Standard,NIST AI/RMF,3,2,3,4,2,Low Confidence,D2,0,0,1,0,1,0,2022-2023,"D1=3: MEASURE function recommends confidence assessment (SHOULD); no formal protocol. D2=2: 'Valid & Reliable' references accuracy; no error rate quantification. D3=3: evaluation recommended; no mandatory environment spec. D4=4: model calibration, distributional shift, explainability, resilience — 2+ AI challenges. Limiting: D2."
2,2023,AI RMF Playbook,NIST AI RMF Companion,NIST,Guidance,NIST AI/RMF,3,2,3,4,2,Low Confidence,D2,0,0,1,0,1,0,2022-2023,Implementation companion to AI RMF 1.0. D2=2: accuracy framing present; no error rate protocol. D4=4: same AI-specific coverage as parent. Limiting: D2.
3,2024,Artificial Intelligence Risk Management Framework: Generative AI (NIST AI 600-1),NIST.AI.600-1,NIST,Core Standard,NIST AI/RMF,4,3,3,5,3,Moderate Confidence,D2/D3,0,1,1,1,1,0,2024-2025,"Canonical worked example. D1=4: output validation required (SHALL); not a confidence interval framework. D2=3: confidence thresholds conceptual; no quantitative values. D3=3: validation recommended not mandated. D4=5: confabulation, output validation, confidence thresholds — all substantive. Limiting: D2 and D3 → score 3."
4,2025,Cybersecurity Framework Profile for Artificial Intelligence (Cyber AI Profile),NIST IR 8596 iprd,NIST,Draft Standard,NIST Other,3,2,3,4,2,Low Confidence,D2,0,0,1,0,1,0,2024-2025,D1=3: maps CSF 2.0 to AI risk; SHOULD-level. D2=2: risk measurement referenced; no error rate. D3=3: evaluation recommended. D4=4: AI-specific risks across multiple CSF functions. Limiting: D2.
5,2025,Mobile Device Forensic Tool Test Specification v3.3,CFTT Spec v3.3,NIST,Test Specification,CFTT Test Specification,3,3,4,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2024-2025,"D1=3: test assertion framework; SHOULD-level. D2=3: error categories defined; no quantitative thresholds. D3=4: SHALL document environment, version, hardware; independent review recommended. D4=1: AI entirely absent. Limiting: D4. FLAG: D4-limited AI gap."
6,2024,Mobile Device Forensic Tool Test Specification v3.2,CFTT Spec v3.2,NIST,Test Specification,CFTT Test Specification,3,3,4,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2024-2025,Same family as #5 (prior version). D1-D3 identical to v3.3. D4=1: AI absent. Limiting: D4. FLAG: D4-limited.
7,2021,Mobile Device Forensic Tool Test Specification v3.1,CFTT Spec v3.1,NIST,Test Specification,CFTT Test Specification,3,3,4,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2020-2021,Same family as #5-6 (earlier). D4=1: AI not in scope in 2021. Limiting: D4. FLAG: D4-limited.
8,2023,Disk Imaging Tool: Tableau TX1 Forensic Imager v22.3.0 (Federated Test Report),CFTT-DI-2023-TX1,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,1,0,0,1,0,2022-2023,"D1=3: test assertions = QA framework; no confidence interval protocol. D2=4: pass/fail with anomaly log per assertion; no FP/FN rate thresholds. D3=5: mandatory versioned tool, documented hardware, SHA hash, CFTT-reviewed. D4=1: AI absent. Limiting: D4. FLAG: D4-limited."
9,2023,Disk Imaging Tool: F-SecuManager v1 (Federated Test Report),CFTT-DI-2023-FSM,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2022-2023,Same family as #8. D1-D3 pattern identical across all CFTT federated disk imaging reports. D4=1: AI absent. Limiting: D4. FLAG: D4-limited.
10,2021,Disk Imaging Tool: Tableau TX1 Forensic Imager v21.3 (Federated Test Report),CFTT-DI-2021-TX1,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2020-2021,Same family as #8-9. D4=1: AI absent. Limiting: D4. FLAG: D4-limited.
